customer;churnprop;churndate;nps;npsdate;reactscore;reactdate;vip;vipdate
CRM0000001060;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;0;30/11/2025 12:00:00
CRM0000001106;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001107;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001108;1;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001109;1;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001110;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001111;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001112;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;5;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001113;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001114;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001115;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001116;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001117;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001118;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001119;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001120;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001121;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001122;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001123;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001124;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001125;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001126;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;10;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001127;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001128;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001129;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001130;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001131;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;6;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001132;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001133;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;2;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001134;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001135;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001136;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001137;3;10/01/2026 09:00:00;8;15/12/2025 10:00:00;9;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001138;0;10/01/2026 09:00:00;6;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001139;0;10/01/2026 09:00:00;8;15/12/2025 10:00:00;0;10/01/2026 10:00:00;-1;30/11/2025 12:00:00
CRM0000001140;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;5;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001141;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;7;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001142;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;10;10/01/2026 10:00:00;4;30/11/2025 12:00:00
CRM0000001143;3;10/01/2026 09:00:00;6;15/12/2025 10:00:00;1;10/01/2026 10:00:00;1;30/11/2025 12:00:00
CRM0000001144;0;10/01/2026 09:00:00;7;15/12/2025 10:00:00;3;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001145;3;10/01/2026 09:00:00;7;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
CRM0000001146;1;10/01/2026 09:00:00;6;15/12/2025 10:00:00;4;10/01/2026 10:00:00;2;30/11/2025 12:00:00
CRM0000001147;3;10/01/2026 09:00:00;9;15/12/2025 10:00:00;8;10/01/2026 10:00:00;3;30/11/2025 12:00:00
